IntegerID	OriginalID
1036	CPX-1203
1037	CPX-356
1038	CPX-2386
1039	Q96DV4
1040	O60894
1041	P05997
1042	Q96H22
1043	CPX-2505
1044	Q969U6
1045	Q9NPH9
1046	CPX-2515
1047	Q9BQQ3
1048	P04070
1049	O75380
1050	CPX-654
1051	Q75N03
1052	Q6ZRH7
1053	CPX-8870
1054	CPX-8631
1055	CPX-1062
1056	P15172
1057	P60602
1058	P56192
1059	CPX-2951
1060	CPX-21210
1061	P62829
1062	Q9HAJ7
1063	P02042
1064	Q6W2J9
1065	CPX-1063
1066	0000004545
1067	CPX-1920
1068	CPX-8606
1069	CPX-630
1070	Q9HAD4
1071	Q99643
1072	CPX-26382
1073	CPX-891
1074	CPX-1175
1075	CPX-26458
1076	0000367048
1077	Q9NPP4
1078	CPX-8672
1079	0000015821
1080	Q6AI39
1081	O60524
1082	P05026
1083	Q9BXW9
1084	Q9H8E8
1085	P62310
1086	Q15532
1087	P06702
1088	Q9NVD7
1089	CPX-7517
1090	P25398
1091	Q52LR7
1092	P61803
1093	O96007
1094	Q8TAT6
1095	P14770
1096	CPX-10161
1097	Q5T6S3
1098	CPX-26353
1099	P49005
1100	O43747
1101	O60573
1102	CPX-6233
1103	CPX-440
1104	CPX-5839
1105	Q92844
1106	CPX-6011
1107	CPX-6789
1108	P23415
1109	CPX-9881
1110	Q15459
1111	CPX-1313
1112	Q9BT25
1113	Q9UGJ1
1114	Q6I9Y2
1115	CPX-6177
1116	Q14103
1117	CPX-2500
1118	Q9UK45
1119	CPX-26381
1120	CPX-2542
1121	Q9H9A5
1122	Q9UKA1
1123	Q8IY18
1124	Q13619
1125	P05015
1126	Q16514
1127	CPX-6923
1128	Q15022
1129	O60749
1130	Q8NFH5
1131	CPX-2173
1132	Q8IXJ9
1133	Q14626
1134	P06746
1135	O43181
1136	Q86YP4
1137	P53803
1138	Q8IUZ0
1139	O15230
1140	P03952
1141	P09012
1142	O43920
1143	CPX-6150
1144	Q9BUE0
1145	P28062
1146	CPX-6227
1147	CPX-9222
1148	O75964
1149	CPX-8917
1150	Q9Y4R8
1151	CPX-1180
1152	Q9NZN5
1153	Q9BYV9
1154	URS00000478B7
1155	P05000
1156	Q9HBE5
1157	Q9H0W8
1158	CPX-226
1159	Q3MUY2
1160	P61812
1161	CPX-7505
1162	P62877
1163	Q8TAD8
1164	P69849
1165	CPX-26030
1166	P17301
1167	CPX-2375
1168	CPX-8164
1169	P23416
1170	Q8WWY3
1171	Q96JH7
1172	CPX-8143
1173	CPX-6472
1174	Q9UJW3
1175	Q6UX40
1176	CPX-6564
1177	CPX-2295
1178	Q9UH03
1179	CPX-757
1180	CPX-6001
1181	CPX-943
1182	P61758
1183	CPX-6543
1184	CPX-7747
1185	CPX-1921
1186	P46020
1187	CPX-37
1188	Q10570
1189	Q9NPB6
1190	CPX-6167
1191	CPX-10341
1192	CPX-7066
1193	CPX-7501
1194	Q8IYI6
1195	CPX-6306
1196	A5D8V6
1197	CPX-5048
1198	CPX-25738
1199	Q14802
1200	Q14005
1201	CPX-1605
1202	CPX-1822
1203	CPX-3291
1204	P63220
1205	CPX-3292
1206	Q9NR50
1207	Q12874
1208	Q15024
1209	URS0000715A86
1210	A5D8V7
1211	Q8NDF8
1212	CPX-7514
1213	CPX-5053
1214	CPX-8781
1215	CPX-2674
1216	Q9BUR4
1217	Q9H095
1218	P01215
1219	P14678
1220	CPX-2276
1221	Q13330
1222	0000004609
1223	Q13349
1224	Q8NCA5
1225	CPX-8263
1226	CPX-3080
1227	CPX-25730
1228	P15153
1229	CPX-2008
1230	Q9BYM8
1231	P62851
1232	P99999
1233	O15235
1234	CPX-5043
1235	Q9P2R7
1236	Q9HAE3
1237	Q5VTR2
1238	Q9BTX1
1239	P05156
1240	Q9Y263
1241	CPX-6304
1242	Q8IY31
1243	Q9Y5Q9
1244	Q9NRR4
1245	Q8WXX7
1246	Q14116
1247	Q9H6L2
1248	CPX-6641
1249	CPX-8022
1250	P55211
1251	CPX-8762
1252	CPX-8783
1253	CPX-1174
1254	Q86XI2
1255	Q8WWI1
1256	Q07954
1257	CPX-2252
1258	Q9Y2G3
1259	P63279
1260	Q9H6T3
1261	CPX-25782
1262	P49916
1263	O43617
1264	Q9Y487
1265	Q9NYF8
1266	Q9Y366
1267	Q8NHM5
1268	Q01780
1269	Q96QD9
1270	Q6ZMI0
1271	CPX-187
1272	CPX-6178
1273	CPX-2663
1274	CPX-8805
1275	Q15825
1276	P22830
1277	CPX-286
1278	Q14691
1279	Q9NW82
1280	P14373
1281	Q96FV9
1282	CPX-5997
1283	O75792
1284	Q9NXR8
1285	CPX-2201
1286	O60508
1287	CPX-7962
1288	CPX-8727
1289	CPX-6417
1290	CPX-8873
1291	CPX-26356
1292	CPX-6236
1293	CPX-1221
1294	Q9H9C1
1295	Q3SY84
1296	CPX-6741
1297	Q9BVW5
1298	CPX-2486
1299	CPX-2570
1300	CPX-8933
1301	CPX-8004
1302	Q92994
1303	CPX-1750
1304	Q02878
1305	CPX-6940
1306	CPX-10333
1307	O14910
1308	Q16891
1309	P62318
1310	Q8TF40
1311	CPX-5181
1312	Q9NRD9
1313	O75317
1314	Q9Y2L1
1315	P11802
1316	CPX-3224
1317	CPX-6234
1318	P60709
1319	P14314
1320	O60312
1321	P43681
1322	0000028110
1323	CPX-6285
1324	0000033763
1325	CPX-25769
1326	P49810
1327	CPX-2256
1328	Q9BXH1
1329	Q13113
1330	P30281
1331	CPX-2398
1332	CPX-79
1333	P60763
1334	P42695
1335	CPX-2919
1336	P22087
1337	Q96B45
1338	CPX-8633
1339	Q92968
1340	CPX-6174
1341	P04264
1342	P11226
1343	0000259488
1344	Q93077
1345	P55084
1346	CPX-10310
1347	A6ND01
1348	Q9H0U6
1349	P00414
1350	CPX-1207
1351	Q96BS2
1352	Q6PIF2
1353	CPX-4144
1354	CPX-1772
1355	CPX-2615
1356	CPX-200
1357	CPX-354
1358	Q9Y5J1
1359	CPX-2640
1360	CPX-2707
1361	O00148
1362	Q13936
1363	CPX-9168
1364	Q9Y3D3
1365	Q99460
1366	Q8IYD8
1367	CPX-2328
1368	Q6P161
1369	Q96CG3
1370	P61247
1371	CPX-975
1372	CPX-9841
1373	CPX-674
1374	CPX-7975
1375	CPX-2517
1376	Q92830
1377	CPX-2714
1378	CPX-6903
1379	Q9NVS2
1380	CPX-6934
1381	Q3ZCQ8
1382	CPX-1080
1383	CPX-2535
1384	Q5XX13
1385	CPX-2928
1386	CPX-4232
1387	P62861
1388	Q58WW2
1389	CPX-3148
1390	CPX-8063
1391	Q8NB91
1392	O00444
1393	Q9H410
1394	Q96MX6
1395	Q9Y375
1396	O43716
1397	CPX-2692
1398	CPX-7664
1399	CPX-6033
1400	CPX-80
1401	CPX-846
1402	Q9H7D7
1403	O95503
1404	Q9UMN6
1405	CPX-1828
1406	O94822
1407	CPX-6367
1408	CPX-618
1409	Q9NRK6
1410	CPX-925
1411	CPX-7922
1412	0000005001
1413	CPX-721
1414	Q9BXJ9
1415	Q9NQC8
1416	Q8IYD1
1417	Q96EZ8
1418	P11177
1419	P84098
1420	P08514
1421	CPX-8964
1422	CPX-7846
1423	CPX-955
1424	P12694
1425	Q8TAA5
1426	Q9H074
1427	P26006
1428	CPX-7902
1429	Q96EE3
1430	CPX-8840
1431	O43172
1432	CPX-6542
1433	Q96A35
1434	Q8TE02
1435	CPX-2416
1436	Q9UI30
1437	Q9Y2C9
1438	P49642
1439	CPX-2688
1440	Q99250
1441	CPX-8677
1442	Q9Y490
1443	CPX-7668
1444	CPX-199
1445	CPX-2341
1446	P62750
1447	CPX-6947
1448	Q8TF05
1449	P51970
1450	Q8NFG4
1451	Q9P0U4
1452	Q9NQC1
1453	CPX-2861
1454	Q96AX1
1455	O95299
1456	Q969U7
1457	Q9HBJ8
1458	P49792
1459	Q9NVI1
1460	P26196
1461	CPX-1745
1462	CPX-6282
1463	0000034543
1464	Q8WUZ0
1465	Q13352
1466	Q8WVS4
1467	Q92547
1468	CPX-7522
1469	Q7L014
1470	CPX-210
1471	CPX-6006
1472	Q9UG01
1473	CPX-6954
1474	Q9H0A8
1475	Q92613
1476	CPX-6155
1477	O75943
1478	P10415
1479	CPX-1973
1480	CPX-2476
1481	Q9NRD0
1482	Q13472
1483	CPX-294
1484	Q9H267
1485	O60423
1486	CPX-6036
1487	Q9UNP9
1488	P28358
1489	Q9BYE7
1490	CPX-9309
1491	P48382
1492	Q9BVA0
1493	CPX-7165
1494	Q13224
1495	CPX-661
1496	CPX-6925
1497	CPX-4084
1498	P17676
1499	Q9H0H3
1500	Q9BQ90
1501	Q14141
1502	Q8WVM7
1503	CPX-26399
1504	CPX-2850
1505	P25208
1506	CPX-2353
1507	Q9HAV7
1508	Q9NVF7
1509	Q02108
1510	CPX-4233
1511	CPX-26374
1512	P14854
1513	Q96CB9
1514	P00749
1515	O60306
1516	CPX-104
1517	Q9HAP6
1518	Q7Z3S7
1519	CPX-2015
1520	P21127
1521	CPX-8106
1522	CPX-26435
1523	CPX-6264
1524	CPX-6092
1525	P01854
1526	Q6TGC4
1527	CPX-2930
1528	Q9NXS3
1529	CPX-7529
1530	O15315
1531	Q8WXD5
1532	CPX-3280
1533	CPX-2492
1534	Q0VGL1
1535	CPX-26028
1536	Q7Z6M4
1537	Q7LG56
1538	Q9P2J5
1539	CPX-7555
1540	Q13618
1541	CPX-156
1542	O75477
1543	CPX-6906
1544	CPX-6961
1545	Q96N11
1546	P51114
1547	P60842
1548	Q9BTE1
1549	CPX-6594
1550	Q96B49
1551	CPX-759
1552	Q9UHA4
1553	CPX-2292
1554	O43521
