S000003889	YJR128W
S000003888	YJR127C
S000006492	snR3
S000003890	YJR129C
S000003891	YJR130C
S000003892	YJR131W
S000003893	YJR132W
S000003894	YJR133W
S000003895	YJR134C
S000003896	YJR135C
S000007348	YJR135W-A
S000003897	YJR136C
S000003898	YJR137C
S000007553	ARS1021
S000003899	YJR138W
S000003900	YJR139C
S000028666	YJR140W-A
S000003901	YJR140C
S000003902	YJR141W
S000003903	YJR142W
S000003904	YJR143C
S000003905	YJR144W
S000003906	YJR145C
S000003907	YJR146W
S000003908	YJR147W
S000003909	YJR148W
S000003910	YJR149W
S000003911	YJR150C
S000028458	ARS1022
S000003912	YJR151C
S000028557	YJR151W-A
S000003913	YJR152W
S000003914	YJR153W
S000003915	YJR154W
S000003916	YJR155W
S000003917	YJR156C
S000028459	ARS1023
S000003918	YJR157W
S000003919	YJR158W
S000003920	YJR159W
S000028460	ARS1024
S000003921	YJR160C
S000003922	YJR161C
S000028461	ARS1025
S000028974	TEL10R
S000003923	YJR162C
S000001708	YKL225W
S000028906	TEL11L
S000001707	YKL224C
S000001706	YKL223W
S000001705	YKL222C
S000001704	YKL221W
S000130137	ARS1102
S000001703	YKL220C
S000001702	YKL219W
S000001701	YKL218C
S000001700	YKL217W
S000001699	YKL216W
S000001698	YKL215C
S000001697	YKL214C
S000001696	YKL213C
S000001695	YKL212W
S000001694	YKL211C
S000006455	snR64
S000001693	YKL210W
S000001692	YKL209C
S000006748	tT(CGU)K
S000001691	YKL208W
S000001690	YKL207W
S000001689	YKL206C
S000001688	YKL205W
S000001687	YKL204W
S000118401	ARS1103
S000001686	YKL203C
S000001685	YKL202W
S000001684	YKL201C
S000001681	YKL198C
S000001680	YKL197C
S000007055	YKLWdelta1
S000006671	tN(GUU)K
S000001679	YKL196C
S000001678	YKL195W
S000001677	YKL194C
S000001676	YKL193C
S000001675	YKL192C
S000001674	YKL191W
S000001673	YKL190W
S000007050	YKLCdelta2
S000006651	tL(UAA)K
S000001672	YKL189W
S000001671	YKL188C
S000130138	ARS1104
S000001670	YKL187C
S000001669	YKL186C
S000001668	YKL185W
S000001667	YKL184W
S000119035	ARS1125
S000028558	YKL183C-A
S000001666	YKL183W
S000001665	YKL182W
S000001664	YKL181W
S000001663	YKL180W
S000001662	YKL179C
S000001660	YKL177W
S000001661	YKL178C
S000001659	YKL176C
S000001658	YKL175W
S000001657	YKL174C
S000001656	YKL173W
S000001655	YKL172W
S000001654	YKL171W
S000001653	YKL170W
S000001652	YKL169C
S000001651	YKL168C
S000001650	YKL167C
S000001649	YKL166C
S000007617	YKL165C-A
S000001648	YKL165C
S000006558	tE(UUC)K
S000001647	YKL164C
S000001646	YKL163W
S000007244	YKL162C-A
S000001645	YKL162C
S000001644	YKL161C
S000118402	ARS1106
S000001643	YKL160W
S000001642	YKL159C
S000001640	YKL157W
S000001639	YKL156W
S000028668	YKL156C-A
S000001638	YKL155C
S000001637	YKL154W
S000006716	tR(UCU)K
S000007056	YKLWdelta3
S000001636	YKL153W
S000001635	YKL152C
S000001634	YKL151C
S000001633	YKL150W
S000001632	YKL149C
S000001631	YKL148C
S000001629	YKL146W
S000001630	YKL147C
S000001628	YKL145W
S000028841	YKL145W-A
S000001627	YKL144C
S000001626	YKL143W
S000001625	YKL142W
S000001624	YKL141W
S000001623	YKL140W
S000001622	YKL139W
S000028421	YKL138C-A
S000001621	YKL138C
S000001620	YKL137W
S000001619	YKL136W
S000001618	YKL135C
S000001617	YKL134C
S000001616	YKL133C
S000001614	YKL131W
S000001615	YKL132C
S000001613	YKL130C
S000119036	ARS1126
S000001612	YKL129C
S000001611	YKL128C
S000007054	YKLCsigma1
S000006626	tK(CUU)K
S000001610	YKL127W
S000001609	YKL126W
S000001608	YKL125W
S000001607	YKL124W
S000001606	YKL123W
S000001605	YKL122C
S000119037	ARS1127
S000001604	YKL121W
S000001603	YKL120W
S000001601	YKL118W
S000001602	YKL119C
S000007051	YKLCdelta4
S000006515	tA(AGC)K1
S000001600	YKL117W
S000001599	YKL116C
S000001598	YKL115C
S000001597	YKL114C
S000001596	YKL113C
S000001595	YKL112W
S000001594	YKL111C
S000001593	YKL110C
S000001592	YKL109W
S000001591	YKL108W
S000001590	YKL107W
S000007616	YKL106C-A
S000001589	YKL106W
S000001588	YKL105C
S000001587	YKL104C
S000001586	YKL103C
S000001585	YKL102C
S000001584	YKL101W
S000028840	YKL100W-A
S000001583	YKL100C
S000001582	YKL099C
S000001581	YKL098W
S000001580	YKL097C
S000028667	YKL096C-B
S000001956	YKL096W-A
S000001579	YKL096W
S000001578	YKL095W
S000001577	YKL094W
S000001576	YKL093W
S000001575	YKL092C
S000001574	YKL091C
S000001573	YKL090W
S000001572	YKL089W
S000001571	YKL088W
S000001570	YKL087C
S000001569	YKL086W
S000001568	YKL085W
S000001567	YKL084W
S000001566	YKL083W
S000001565	YKL082C
S000001564	YKL081W
S000007301	snR38
S000001563	YKL080W
S000001562	YKL079W
S000001561	YKL078W
S000001560	YKL077W
S000001559	YKL076C
S000001558	YKL075C
S000001557	YKL074C
S000001556	YKL073W
S000001555	YKL072W
S000007052	YKLCdelta5
S000006774	tW(CCA)K
S000001554	YKL071W
S000001553	YKL070W
S000001552	YKL069W
S000006760	tV(AAC)K1
S000028524	YKL068W-A
S000001551	YKL068W
S000006598	tH(GUG)K
S000007053	YKLCdelta6
S000007057	YKLWdelta7
S000001550	YKL067W
S000001549	YKL066W
S000113563	YKL065W-A
S000001548	YKL065C
S000001547	YKL064W
S000001546	YKL063C
S000001545	YKL062W
S000001544	YKL061W
S000001543	YKL060C
S000001542	YKL059C
S000118403	ARS1109
S000001541	YKL058W
S000001540	YKL057C
S000001539	YKL056C
S000001538	YKL055C
S000001537	YKL054C
S000007243	YKL053C-A
S000001536	YKL053W
S000001535	YKL052C
S000001534	YKL051W
S000001533	YKL050C
S000001532	YKL049C
S000001531	YKL048C
S000001530	YKL047W
S000001529	YKL046C
S000001528	YKL045W
S000001527	YKL044W
S000001526	YKL043W
S000001525	YKL042W
S000001524	YKL041W
S000001523	YKL040C
S000001522	YKL039W
S000006460	snR69
S000001521	YKL038W
S000001520	YKL037W
S000001518	YKL035W
S000001519	YKL036C
S000001517	YKL034W
S000007242	YKL033W-A
S000001516	YKL033W
S000006761	tV(AAC)K2
S000001515	YKL032C
S000001514	YKL031W
S000001513	YKL030W
S000001512	YKL029C
S000001511	YKL028W
S000001510	YKL027W
S000118404	ARS1112
S000001509	YKL026C
S000001508	YKL025C
S000001507	YKL024C
S000113559	YKL023C-A
S000001506	YKL023W
S000001505	YKL022C
S000001504	YKL021C
S000001503	YKL020C
S000001502	YKL019W
S000007615	YKL018C-A
S000001501	YKL018W
S000001500	YKL017C
S000001499	YKL016C
S000001498	YKL015W
S000001497	YKL014C
S000118405	ARS1113
S000001496	YKL013C
S000001495	YKL012W
S000001494	YKL011C
S000001493	YKL010C
S000001492	YKL009W
S000001491	YKL008C
S000001490	YKL007W
S000002101	YKL006C-A
S000114301	snR87
S000001489	YKL006W
S000001488	YKL005C
S000001487	YKL004W
S000001486	YKL003C
S000001485	YKL002W
S000001484	YKL001C
S000006472	CEN11
S000001709	YKR001C
S000001710	YKR002W
S000001711	YKR003W
S000118406	ARS1114
S000001712	YKR004C
S000001713	YKR005C
S000001714	YKR006C
S000001715	YKR007W
S000001716	YKR008W
S000001717	YKR009C
S000007058	YKRCdelta8
S000006642	tL(CAA)K
S000001718	YKR010C
S000001719	YKR011C
S000130139	ARS1115
S000001721	YKR013W
S000001720	YKR012C
S000001722	YKR014C
S000001723	YKR015C
S000001724	YKR016W
S000001725	YKR017C
S000001726	YKR018C
S000001727	YKR019C
S000001728	YKR020W
S000001729	YKR021W
S000001730	YKR022C
S000001731	YKR023W
S000001732	YKR024C
S000001733	YKR025W
S000001734	YKR026C
S000007059	YKRCdelta9
S000007062	YKRWdelta10
S000006703	tR(ACG)K
S000001735	YKR027W
S000001736	YKR028W
S000001737	YKR029C
S000001738	YKR030W
S000001739	YKR031C
S000001740	YKR032W
S000001742	YKR034W
S000001741	YKR033C
S000006435	YKR035W-A
S000001743	YKR035C
S000001744	YKR036C
S000001745	YKR037C
S000001746	YKR038C
S000006540	tD(GUC)K
S000007060	YKRCdelta11
S000001747	YKR039W
S000118407	ARS1116
S000007061	YKRCdelta12
S000006516	tA(AGC)K2
S000001749	YKR041W
S000001748	YKR040C
S000001750	YKR042W
S000001751	YKR043C
S000001752	YKR044W
S000001753	YKR045C
S000001754	YKR046C
S000001755	YKR047W
S000001756	YKR048C
S000001757	YKR049C
S000001758	YKR050W
S000001759	YKR051W
S000001760	YKR052C
S000001761	YKR053C
S000001762	YKR054C
S000001763	YKR055W
S000001764	YKR056W
S000001765	YKR057W
S000001766	YKR058W
S000001767	YKR059W
S000001768	YKR060W
S000001769	YKR061W
S000006502	snR42
S000001770	YKR062W
S000001771	YKR063C
S000001772	YKR064W
S000001773	YKR065C
S000001774	YKR066C
S000001775	YKR067W
S000001776	YKR068C
S000001777	YKR069W
S000001778	YKR070W
S000001779	YKR071C
S000001780	YKR072C
S000001781	YKR073C
S000006632	tK(UUU)K
S000001782	YKR074W
S000028669	YKR075W-A
S000001783	YKR075C
S000118408	ARS1118
S000001784	YKR076W
S000001785	YKR077W
